sample_row_id,model,source,loc,token_count,ast_node_count,ast_max_depth,cyclomatic_complexity,function_count,loop_count,if_count,call_count
train:0,human,gh,123.0,1550.0,1752.0,15.0,32.0,1.0,9.0,10.0,39.0
train:1,human,gh,4.0,35.0,28.0,8.0,2.0,1.0,0.0,1.0,2.0
train:2,human,gh,11.0,82.0,66.0,8.0,3.0,1.0,1.0,1.0,4.0
train:3,human,gh,40.0,278.0,267.0,10.0,4.0,1.0,3.0,0.0,27.0
train:4,human,gh,13.0,95.0,70.0,9.0,5.0,1.0,0.0,3.0,5.0
train:5,human,gh,4.0,29.0,22.0,6.0,1.0,1.0,0.0,0.0,1.0
train:6,human,gh,30.0,151.0,113.0,7.0,5.0,1.0,0.0,3.0,7.0
train:7,human,gh,17.0,129.0,108.0,9.0,6.0,1.0,2.0,3.0,10.0
train:8,human,gh,4.0,29.0,22.0,6.0,1.0,1.0,0.0,0.0,1.0
train:9,human,gh,24.0,147.0,117.0,9.0,8.0,1.0,1.0,4.0,5.0
train:10,human,gh,4.0,38.0,23.0,6.0,1.0,1.0,0.0,0.0,1.0
train:11,human,gh,10.0,73.0,51.0,10.0,3.0,1.0,1.0,1.0,5.0
train:12,human,gh,6.0,48.0,32.0,9.0,2.0,1.0,0.0,1.0,2.0
train:13,human,gh,18.0,172.0,142.0,11.0,3.0,1.0,0.0,0.0,11.0
train:14,human,gh,27.0,290.0,268.0,12.0,11.0,1.0,0.0,9.0,10.0
train:15,human,gh,15.0,113.0,113.0,9.0,3.0,1.0,2.0,0.0,8.0
train:16,human,gh,9.0,51.0,37.0,9.0,4.0,1.0,0.0,1.0,1.0
train:17,human,gh,4.0,42.0,33.0,7.0,1.0,1.0,0.0,0.0,2.0
train:18,human,gh,11.0,75.0,53.0,7.0,2.0,1.0,1.0,0.0,3.0
train:19,human,gh,3.0,33.0,21.0,6.0,1.0,1.0,0.0,0.0,1.0
train:20,human,gh,12.0,68.0,55.0,7.0,4.0,1.0,0.0,1.0,2.0
train:21,human,gh,56.0,382.0,299.0,11.0,16.0,1.0,2.0,5.0,18.0
train:22,human,gh,4.0,33.0,18.0,5.0,1.0,1.0,0.0,0.0,0.0
train:23,human,gh,11.0,66.0,56.0,7.0,2.0,1.0,0.0,1.0,3.0
train:24,human,gh,41.0,321.0,298.0,12.0,18.0,1.0,1.0,7.0,17.0
train:25,human,gh,95.0,451.0,362.0,11.0,19.0,1.0,1.0,11.0,20.0
train:26,human,gh,25.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train:27,human,gh,7.0,49.0,32.0,8.0,1.0,1.0,0.0,0.0,1.0
train:28,human,gh,20.0,205.0,192.0,9.0,6.0,1.0,0.0,2.0,7.0
train:29,human,gh,6.0,48.0,39.0,8.0,2.0,1.0,0.0,1.0,3.0
train:30,human,gh,21.0,180.0,169.0,9.0,5.0,1.0,0.0,3.0,6.0
train:31,human,gh,10.0,151.0,122.0,11.0,3.0,1.0,2.0,0.0,14.0
train:32,human,gh,11.0,98.0,71.0,8.0,3.0,1.0,0.0,2.0,3.0
train:33,human,gh,7.0,50.0,52.0,9.0,1.0,1.0,0.0,0.0,3.0
train:34,human,gh,30.0,230.0,194.0,9.0,5.0,1.0,0.0,3.0,13.0
train:35,human,gh,24.0,173.0,129.0,10.0,8.0,1.0,0.0,3.0,3.0
train:36,human,gh,7.0,40.0,28.0,8.0,2.0,1.0,0.0,1.0,1.0
train:37,human,gh,21.0,169.0,154.0,13.0,7.0,1.0,1.0,3.0,9.0
train:38,human,gh,3.0,36.0,24.0,8.0,1.0,1.0,0.0,0.0,2.0
train:39,human,gh,59.0,377.0,305.0,12.0,11.0,1.0,0.0,10.0,27.0
train:40,human,gh,4.0,41.0,27.0,6.0,1.0,1.0,0.0,0.0,1.0
train:41,human,gh,20.0,113.0,92.0,8.0,7.0,1.0,0.0,4.0,1.0
train:42,human,gh,9.0,65.0,55.0,6.0,1.0,1.0,0.0,0.0,4.0
train:43,human,gh,6.0,43.0,28.0,8.0,3.0,1.0,0.0,0.0,2.0
