sample_row_id,model,source,loc,token_count,ast_node_count,ast_max_depth,cyclomatic_complexity,function_count,loop_count,if_count,call_count
train:139488,llama3.1,lc,5.0,37.0,28.0,5.0,1.0,1.0,0.0,0.0,3.0
train:164724,codellama,lc,2.0,31.0,30.0,8.0,2.0,1.0,0.0,0.0,2.0
train:118141,nxcode,gh,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train:124497,nxcode,lc,13.0,66.0,61.0,6.0,3.0,1.0,1.0,1.0,2.0
train:76569,human,cf,68.0,397.0,388.0,11.0,14.0,0.0,3.0,8.0,20.0
train:80926,human,cf,297.0,1327.0,1022.0,11.0,26.0,9.0,9.0,15.0,72.0
train:37354,human,gh,32.0,177.0,129.0,9.0,6.0,1.0,0.0,3.0,11.0
train:15426,human,gh,5.0,42.0,34.0,7.0,2.0,1.0,0.0,1.0,1.0
train:108891,codellama,gh,9.0,71.0,66.0,11.0,1.0,1.0,0.0,0.0,1.0
train:46226,human,gh,7.0,44.0,28.0,8.0,4.0,1.0,1.0,0.0,1.0
train:173403,codellama,lc,9.0,89.0,84.0,11.0,5.0,1.0,1.0,1.0,5.0
train:160666,llama3.1,lc,7.0,66.0,48.0,6.0,1.0,1.0,0.0,0.0,4.0
train:38751,human,gh,13.0,99.0,69.0,9.0,5.0,1.0,0.0,2.0,2.0
train:41170,human,gh,8.0,80.0,62.0,9.0,5.0,1.0,1.0,1.0,2.0
train:94630,gpt,gh,27.0,272.0,257.0,13.0,9.0,2.0,5.0,1.0,22.0
train:55720,human,cf,1127.0,4976.0,4188.0,12.0,92.0,49.0,32.0,45.0,179.0
train:30389,human,gh,29.0,203.0,151.0,9.0,5.0,2.0,2.0,2.0,15.0
train:16030,human,gh,17.0,125.0,109.0,12.0,3.0,1.0,0.0,0.0,12.0
train:99393,qwen1.5,gh,28.0,137.0,94.0,9.0,4.0,2.0,1.0,2.0,5.0
train:173485,codellama,lc,22.0,150.0,122.0,10.0,5.0,1.0,2.0,1.0,3.0
train:164105,codellama,lc,6.0,67.0,50.0,6.0,2.0,1.0,0.0,0.0,2.0
train:90833,codellama,cf,9.0,71.0,70.0,8.0,4.0,0.0,2.0,1.0,7.0
train:145370,llama3.1,lc,9.0,56.0,53.0,7.0,1.0,0.0,0.0,0.0,6.0
train:9760,human,gh,5.0,34.0,24.0,6.0,2.0,1.0,1.0,0.0,2.0
train:75094,human,cf,36.0,278.0,272.0,10.0,11.0,0.0,3.0,5.0,16.0
