sample_row_id,code_sha1,dataset_split,split_index,language,model,source,target,char_count,loc,token_count,ast_max_depth,cyclomatic_complexity
train:139488,5bd1f6202c1deec87674ee95bfe1927d10720200,train,139488,python,llama3.1,lc,ai,98.0,5.0,37.0,5.0,1.0
train:164724,c025ef973c0660b161315c6f621f9c9096c6c2a6,train,164724,python,codellama,lc,ai,69.0,2.0,31.0,8.0,2.0
train:118141,00e612fd8be0b0ace99d0d866379b1c6ca0be7ec,train,118141,python,nxcode,gh,ai,52.0,3.0,9.0,0.0,0.0
train:124497,c8a20086506f4304112dadd0f4df12004c195473,train,124497,python,nxcode,lc,ai,206.0,13.0,66.0,6.0,3.0
train:76569,eaa4844f9833e9aa547b2bf903e60527c773ab74,train,76569,python,human,cf,human,1150.0,68.0,397.0,11.0,14.0
train:80926,479edbc4391dc51a2f8e92687c733263d2073205,train,80926,python,human,cf,human,3986.0,297.0,1327.0,11.0,26.0
train:37354,7dbaf4c3402cf3984ca890899c7846c8e70cb2cd,train,37354,python,human,gh,human,1046.0,32.0,177.0,9.0,6.0
train:15426,35f6a015f60fe4b59db737e8b13cf4da7faaf91c,train,15426,python,human,gh,human,189.0,5.0,42.0,7.0,2.0
train:108891,84417b593c4a6df8cfdf1ea10a6cceab0c92faa7,train,108891,python,codellama,gh,ai,194.0,9.0,71.0,11.0,1.0
train:46226,e3f2050466f61a4c0117c1c1c9cad8a1b56a63c8,train,46226,python,human,gh,human,242.0,7.0,44.0,8.0,4.0
train:173403,ba3b7e62ce251a117fe8a1378c76c98f83a8c434,train,173403,python,codellama,lc,ai,302.0,9.0,89.0,11.0,5.0
train:160666,5dc8862986a8e0ec24322aa5d6edbf8f89b85cc9,train,160666,python,llama3.1,lc,ai,178.0,7.0,66.0,6.0,1.0
train:38751,1a1b4fc444bd0dcfbeb9160befb249b28d45051e,train,38751,python,human,gh,human,424.0,13.0,99.0,9.0,5.0
train:41170,16c3d0f7727e552c05800c7eba3fe2fa9273519f,train,41170,python,human,gh,human,315.0,8.0,80.0,9.0,5.0
train:94630,8da4558d7b0d2f5f724204cb955796a12d024cfe,train,94630,python,gpt,gh,ai,900.0,27.0,272.0,13.0,9.0
train:55720,bb32f54b6e8861cba010133eab7a59cb5d0c6c40,train,55720,python,human,cf,human,15933.0,1127.0,4976.0,12.0,92.0
train:30389,d61d3ce59fd28875903f200c836e6131f6ef9a1b,train,30389,python,human,gh,human,1065.0,29.0,203.0,9.0,5.0
train:16030,19c37cfc4939956e872996325b2ebd93c6b04538,train,16030,python,human,gh,human,634.0,17.0,125.0,12.0,3.0
